iter	RMSE
0	193.8543152
1	171.7063395
2	152.7598777
3	137.4763813
4	124.9721979
5	113.8396457
6	103.8352164
7	95.43309165
8	88.39983329
9	80.90813125
10	75.70059819
11	70.92347176
12	66.45010695
13	63.87904891
14	61.58286357
15	58.92750179
16	57.20951068
17	55.42739188
18	53.52410697
19	52.39837518
20	51.66395856
21	50.65013389
22	50.27478851
23	49.92398483
24	49.4352663
25	48.97643146
26	48.74085159
27	48.13179708
28	47.6914063
29	47.54646816
30	47.33057096
31	47.19366313
32	47.06855389
33	46.87471801
34	46.81118451
35	46.7618719
36	46.53978137
37	46.5372896
38	46.43561505
39	46.42937151
40	46.10277375
41	46.0884185
42	46.05684207
43	45.91077811
44	45.82201928
45	45.69515658
46	45.59291326
47	45.46439266
48	45.27965965
49	45.22872255
50	45.13441866
51	45.06726606
52	45.01148312
53	44.94705111
54	44.83199878
55	44.74231095
56	44.72872069
57	44.65137863
58	44.52194966
59	44.45813931
60	44.34350773
61	44.3092596
62	44.24546696
63	44.15692719
64	44.04125263
65	43.79035607
66	43.65243084
67	43.44786558
68	43.37133636
69	43.24229072
70	43.14826714
71	42.92840912
72	42.74026453
73	42.58612739
74	42.35670858
75	41.99301136
76	41.84741002
77	41.74320072
78	41.52962067
79	41.41028994
80	41.31610496
81	40.97133065
82	40.8795004
83	40.76524447
84	40.60833717
85	40.48467783
86	40.23415442
87	40.19497549
88	40.09046915
89	39.95369363
90	39.91221288
91	39.8944962
92	39.72153346
93	39.70382453
94	39.59967031
95	39.51025386
96	39.4705213
97	39.3556424
98	39.19360027
99	39.10909705
100	38.97622481
101	38.8696435
102	38.70146027
103	38.59515767
104	38.46152241
105	38.40010672
106	38.34698899
107	38.2688333
108	38.16623726
109	38.10963067
110	38.00907515
111	37.9779858
112	37.94770154
113	37.87240453
114	37.77222578
115	37.75509017
116	37.67536778
117	37.63565319
118	37.54549362
119	37.52288551
120	37.41406958
121	37.36694513
122	37.34837752
123	37.26083146
124	37.25681515
125	37.14703989
126	37.09606461
127	37.05317028
128	37.01485728
129	36.97980202
130	36.90334864
131	36.89965372
132	36.8185398
133	36.81452905
134	36.78985939
135	36.75900868
136	36.68755566
137	36.61819404
138	36.61460134
139	36.5689067
140	36.49434583
141	36.44468134
142	36.32405328
143	36.27117806
144	36.21674417
145	36.17765506
